dom_tld,classification,date,note
bebee.com,job_board,2023-09-18,Filtered by Niels
bzbasel.ch,news,2023-09-18,Filtered by Niels
klook.cn,ota,2023-09-18,Filtered by Niels
fyens.dk,news,2023-09-18,Filtered by Niels
goal.com,news,2023-09-18,Filtered by Niels
primabergamo.it,news,2023-09-18,Filtered by Niels
pinterest.jp,social,2023-09-18,Filtered by Niels
eldia.es,news,2023-09-18,Filtered by Niels
hotfrog.pl,ota,2023-09-18,Filtered by Niels
pbs.org,news,2023-09-18,Filtered by Niels
tsf.pt,news,2023-09-18,Filtered by Niels
diariodealmeria.es,news,2023-09-18,Filtered by Niels
aargauerzeitung.ch,news,2023-09-18,Filtered by Niels
muensterschezeitung.de,news,2023-09-18,Filtered by Niels
aftonbladet.se,news,2023-09-18,Filtered by Niels
nationalpost.com,news,2023-09-18,Filtered by Niels
npr.org,news,2023-09-18,Filtered by Niels
svd.se,news,2023-09-18,Filtered by Niels
laopiniondemurcia.es,news,2023-09-18,Filtered by Niels
rnz.de,news,2023-09-18,Filtered by Niels
irishmirror.ie,news,2023-09-18,Filtered by Niels
nicematin.com,news,2023-09-18,Filtered by Niels
france24.com,news,2023-09-18,Filtered by Niels
yandex.kz,other,2023-09-18,Filtered by Niels
theportugalnews.com,news,2023-09-18,Filtered by Niels
digitalspy.com,news,2023-09-18,Filtered by Niels
pinterest.cl,social,2023-09-18,Filtered by Niels
dhl.com,other,2023-09-18,Filtered by Niels
tf1.fr,news,2023-09-18,Filtered by Niels
hotels.com.au,ota,2023-09-18,Filtered by Niels
grabjobs.co,job_board,2023-09-18,Filtered by Niels
lenouvelliste.ch,news,2023-09-18,Filtered by Niels
euronews.com,news,2023-09-18,Filtered by Niels
sec.gov,gov,2023-09-18,Filtered by Niels
segre.com,news,2023-09-18,Filtered by Niels
aamulehti.fi,news,2023-09-18,Filtered by Niels
ndr.de,news,2023-09-18,Filtered by Niels
lesechos.fr,news,2023-09-18,Filtered by Niels
nla.gov.au,gov,2023-09-18,Filtered by Niels
20min.ch,news,2023-09-18,Filtered by Niels
expressen.se,news,2023-09-18,Filtered by Niels
fnweb.de,news,2023-09-18,Filtered by Niels
talksport.com,news,2023-09-18,Filtered by Niels
laopinioncoruna.es,news,2023-09-18,Filtered by Niels
hokify.at,job_board,2023-09-18,Filtered by Niels
people.com,news,2023-09-18,Filtered by Niels
time.com,news,2023-09-18,Filtered by Niels
pinterest.nz,social,2023-09-18,Filtered by Niels
taz.de,news,2023-09-18,Filtered by Niels
lecho.be,news,2023-09-18,Filtered by Niels
tagesanzeiger.ch,news,2023-09-18,Filtered by Niels
radiotimes.com,news,2023-09-18,Filtered by Niels
tdg.ch,news,2023-09-18,Filtered by Niels
varmatin.com,news,2023-09-18,Filtered by Niels
cornish-times.co.uk,news,2023-09-18,Filtered by Niels
wochenblatt-reporter.de,news,2023-09-18,Filtered by Niels
wiesentbote.de,news,2023-09-18,Filtered by Niels
clm24.es,news,2023-09-18,Filtered by Niels
nhaccuatui.com,other,2023-09-18,Filtered by Niels
pinterest.co.kr,social,2023-09-18,Filtered by Niels
vafo.dk,news,2023-09-18,Filtered by Niels
huffpost.com,news,2023-09-18,Filtered by Niels
huffingtonpost.co.uk,news,2023-09-18,Filtered by Niels
spiegel.de,news,2023-09-18,Filtered by Niels
startribune.com,news,2023-09-18,Filtered by Niels
azubiyo.de,job_board,2023-09-18,Filtered by Niels
triblive.com,news,2023-09-18,Filtered by Niels
solothurnerzeitung.ch,news,2023-09-18,Filtered by Niels
presseportal.ch,news,2023-09-18,Filtered by Niels
thurgauerzeitung.ch,news,2023-09-18,Filtered by Niels
telecinco.es,news,2023-09-18,Filtered by Niels
newsday.com,news,2023-09-18,Filtered by Niels
rtvdrenthe.nl,news,2023-09-18,Filtered by Niels
vulture.com,news,2023-09-18,Filtered by Niels
tsn.ca,news,2023-09-18,Filtered by Niels
primalecco.it,news,2023-09-18,Filtered by Niels
faa.dk,news,2023-09-18,Filtered by Niels
nasdaq.com,news,2023-09-18,Filtered by Niels
ebay.ca,other,2023-09-18,Filtered by Niels
gazzetta.it,news,2023-09-18,Filtered by Niels
vk.se,news,2023-09-18,Filtered by Niels
rfi.fr,news,2023-09-18,Filtered by Niels
rollingstone.com,news,2023-09-18,Filtered by Niels
torontosun.com,news,2023-09-18,Filtered by Niels
larepubliquedespyrenees.fr,news,2023-09-18,Filtered by Niels
cityam.com,news,2023-09-18,Filtered by Niels
reed.co.uk,job_board,2023-09-18,Filtered by Niels
fm1today.ch,news,2023-09-18,Filtered by Niels
dire.it,news,2023-09-18,Filtered by Niels
kuriren.nu,news,2023-09-18,Filtered by Niels
mvt.se,news,2023-09-18,Filtered by Niels
cdc.gov,gov,2023-09-18,Filtered by Niels
radiogold.it,news,2023-09-18,Filtered by Niels
mallorcamagazin.com,news,2023-09-18,Filtered by Niels
tvaktuell.com,news,2023-09-18,Filtered by Niels
urnerzeitung.ch,news,2023-09-18,Filtered by Niels
ildolomiti.it,news,2023-09-18,Filtered by Niels
dissapore.com,news,2023-09-18,Filtered by Niels
abouttravel.ch,news,2023-09-18,Filtered by Niels
nydailynews.com,news,2023-09-18,Filtered by Niels
ocregister.com,news,2023-09-18,Filtered by Niels
smp.se,news,2023-09-18,Filtered by Niels
allgemeine-zeitung.de,news,2023-09-18,Filtered by Niels
expatica.com,job_board,2023-09-18,Filtered by Niels
liberoquotidiano.it,news,2023-09-18,Filtered by Niels
periodistadigital.com,news,2023-09-18,Filtered by Niels
nbcdfw.com,news,2023-09-18,Filtered by Niels
dagbladet.no,news,2023-09-18,Filtered by Niels
cronachemaceratesi.it,news,2023-09-18,Filtered by Niels
lecconotizie.com,news,2023-09-18,Filtered by Niels
lacote.ch,news,2023-09-18,Filtered by Niels
bazonline.ch,news,2023-09-18,Filtered by Niels
graziamagazine.com,news,2023-09-18,Filtered by Niels
ht.no,news,2023-09-18,Filtered by Niels
okmagazine.com,news,2023-09-18,Filtered by Niels
maenner.media,news,2023-09-18,Filtered by Niels
unt.se,news,2023-09-18,Filtered by Niels
firmeninfo.at,business_data,2023-09-18,Filtered by Niels
l-iz.de,news,2023-09-18,Filtered by Niels
atlantico.net,news,2023-09-18,Filtered by Niels
vpro.nl,news,2023-09-18,Filtered by Niels
thisismoney.co.uk,news,2023-09-18,Filtered by Niels
dw.com,news,2023-09-18,Filtered by Niels
sevillaactualidad.com,news,2023-09-18,Filtered by Niels
football.london,news,2023-09-18,Filtered by Niels
moottori.fi,news,2023-09-18,Filtered by Niels
yourvalley.net,news,2023-09-18,Filtered by Niels
ilriformista.it,news,2023-09-18,Filtered by Niels
tr-ex.me,other,2023-09-18,"294MB sitemaps, translation website"
blogia.com,other,2023-09-18,198895 sitemaps - blogs
uphomes.com,marketplace_housing,2023-09-18,43886 sitemaps - real estates
feline-holidays.no,ota,2023-09-18,
vacasol.de,ota,2023-09-18,
chimnie.co.uk,marketplace_housing,2023-09-18,
gelbeseiten.de,job_board,2023-09-18,
legislation.gov.uk,gov,2023-09-18,
sommerhus-siden.dk,ota,2023-09-18,
navidiku.rs,news,2023-09-18,
hotel24.ru,ota,2023-09-18,
gavabiz.co.uk,business,2023-09-18,
vacasol.com,ota,2023-09-18,
timarit.is,other,2023-09-18,books
smh.com.au,news,2023-09-18,
b2bhint.com,business,2023-09-18,
seinajoenseurakunta.fi,other,2023-09-18,
hotfrog.es,ota,2023-09-18,
bigstockphoto.com,other,2023-09-18,
hotfrogse.se,business,2023-09-18,
wsfp.co.uk,news,2023-09-18,
vivino.com,shop,2023-09-18,
aziendeitaliane.net,business,2023-09-18,
indebuurt.nl,ota,2023-09-18,
chiesadimilano.it,other,2023-09-18,
topabiz.it,business,2023-09-18,
alba24.ro,news,2023-09-20,They filed an abuse report to Hetzner abuse@hetzner.com on 2023-09-19
hoteleamsterdam.net,ota,2023-09-21,
ardoer.com,ota,2023-09-21,
parcmaasresidencethorn.nl,website_property,2023-09-21,reservation page cause loop
snowworld.com,group,2023-09-21,all pages cause loops
campingdeblauwereiger.nl,website_property,2023-09-21,174000 pages
nols.edu,school,2023-09-21,
waves.com,business,2023-09-21,
venicehotel-lapergola.com,website_property,2023-09-21,533000 pages recursive loop
directorioi.com,bussiness_list,2023-09-21,
quintadocaracol.com,website_property,2023-09-21,recursive loop in services
brighton.ac.uk,school,2023-09-21
7rizes.com,group,2023-09-21,loop https://7rizes.com/suites-and-family-rooms/ps/64?limit=48&&&language=gr
almira.com.tr,website_property,2023-09-22,loop https://menu.almira.com.tr/?menu=11&p=detail&uID=2012&session=243738338u731215014s1218691690
cowdray.co.uk,website_property,2023-09-22,loop in calendar
hillheadfarmlets.co.uk,website_property,2023-09-22
hotelbristol.no,website_property,2023-09-22
hoteldelamaree.com,website_property,2023-09-22,55000 products pages
hotel-les-cleunes.fr,website_property,2023-09-22,loop in pages
hotel-marina.dk,website_property,2023-09-22,loop in pages
jmstrand.dk,website_property,2023-09-22,loop in pages
kalevspa.ee,website_property,2023-09-22,loop in pages
oldvicaragemoylegrove.co.uk,website_property,2023-09-22,calendar loop 
penzionuchodskehohradu.eu,website_property,2023-09-22,calendar loop 
sea-spirit-guesthouse.co.uk,website_property,2023-09-22,calendar loop 
smugglers-alfriston.co.uk,website_property,2023-09-22,forum high pages
thalasso-grandemotte.com,website_property,2023-09-22,100000 pages in shop
trolltungahotel.no,website_property,2023-09-22,booking engine loop
vierjahreszeiten-iserlohn.de,website_property,2023-09-22,calendar loop
wildbad.de,website_property,2023-09-22,calendar loop
morami.it,website_property,2023-09-22,fake loop page - https://morami.it/2020/12/23/hello-world?replytocom=2784
kongresshotel-potsdam.de,website_property,2023-09-22,cgi page redirecting to out world (virus?) 
hotel-burg-abenberg.com,website_property,2023-09-22,event page with loop on calendar 
hotsexcomics.me,other,2023-09-22, 
hotelcitadella.ro,website_property,2023-09-22,loop on pages
centosedicirooms.com,website_property,2023-09-22,loops on fake pages
holtweijde.nl,website_property,2023-09-22,loop on calendar
hoteltrebon.eu,website_property,2023-09-22,loop on calendar
restaurant-harlekin.de,website_property,2023-09-22,loop on phpsessid
theroyalsnail.com,website_property,2023-09-22,loop on phpsessid
lecloscerdan.com,website_property,2023-09-22,loop on calendar
greyhoundinn.net,website_property,2023-09-22,loop on calendar https://greyhoundinn.net/events/2023-10-15
albergo-lemacerine.com,website_property,2023-09-22,loop on calendar https://greyhoundinn.net/events/2023-10-15
morrishotel.se,website_property,2023-09-22,loop on comments https://morrishotel.se/2016/12/04/heres-a-little-snowy-deal-for-you?replytocom=2895
elcapi.com,website_property,2023-09-22,loop on comments https://elcapi.com/faq-items/casas-y-apartamentos?replytocom=1458
morrishotel.se,website_property,2023-09-25,big unparsable pages, due to comments spam
smugglers-alfriston.co.uk,website_property,2023-09-25,20k pages forum spam

abdn.ac.uk
aman.com
barcelo.com
bath.ac.uk
bbc.co.uk
bell-inn.co.uk
bestwestern.at
bluebellnursery.com
brightontoymuseum.co.uk
bucksrailcentre.org
caravanclub.co.uk
chapteronerestaurant.co.uk
chestercathedral.com
countrycottagesonline.com
donamottparks.com
dundee.ac.uk
eden-hotel.de
eiger-grindelwald.ch
engadin.ch
facebook.com
gorgeouscottages.com
gov.wales
gut-matheshof.de
hcandl.co.uk
hilton.com
historicengland.org.uk
holidaylettings.co.uk
hotelauvalery.com
hotel-city.ch
hotellerelais.be
hotelmix.fr
huishepiscopi.org.uk
imperial.ac.uk
interhome.ch
johanniter.de
kew.org
lakeland-cottage-company.co.uk
lakelandhideaways.co.uk
landgasthof-evering.de
le.ac.uk
lemarcheuson.ch
lesormes.com
liverpoolmuseums.org.uk
ltmuseum.co.uk
maidstone.gov.uk
mallgalleries.org.uk
manchester.ac.uk
merseamuseum.org.uk
museum.wales
northlincs.gov.uk
nvr.org.uk
oberoesterreich.at
ox.ac.uk
phnr.com
queensu.ca
ratedtrips.com
revitalise.org.uk
rhs.org.uk
royalacademy.org.uk
sallyscottages.co.uk
sanahotels.com
scienceandmediamuseum.org.uk
sciencemuseum.org.uk
shakespeare.org.uk
skiland.cz
swindon.gov.uk
tate.org.uk
therailwayframlingham.co.uk
thonhotels.com
tiscover.com
traveleto.com
trustyou.com
ucl.ac.uk
uniqueholidaycottages.co.uk
verdi.de
vonrotz.ch
westonmuseum.org
wix.com
gov.uk
e-media.at,news,2023-09-29
brunner-hotel.com,website_property,2023-09-29,loop on languageid https://brunner-hotel.com/content.php?content_id=10&language_id=1&language_id=3&language_id=1&language_id=2&language_id=4
hotelitalia.de,website_property,2023-09-29,query loop
interhome.co.uk,ota,2023-09-29
nationalgallery.org.uk
ports-37.com,website_property,2023-09-29,loop on cal
shipfowey.co.uk,website_property,2023-09-29,loop on cal
thebustardinn.co.uk,website_property,2023-09-29,loop on cal
webbesrestaurants.co.uk,business,2023-09-29
zamecke-navrsi.cz,,2023-09-29,loop calendar
zur-engelsburg.dewebsite_property,2023-09-29,loop on items
atlasobscura.com
blackburncathedral.com
boldskranz.de
brunel.ac.uk
cam.ac.uk
coventry.gov.uk
cvut.cz
dawlish.com
dorchester-abbey.org.uk
europapark.de
graubuenden.ch
harrogateholidays.co.uk
hetanker.be
horniman.ac.uk
hotelalbana.ch
hotelducanal.com
hotellaston.se
hotelmix.co.uk
hotel-mix.de
ihg.com
krone-tuebingen.de
lancastercathedral.org.uk
leicester.gov.uk
lerelaisdutouron.com
liverpool.ac.uk
logishotels.com
marksandspencer.com
marriott.com
mmu.ac.uk
nationalgalleries.org
oxfordshire.gov.uk
panoramahotel-uckermark.de
peakcottages.com
reunion.fr
rmg.co.uk
stairnaheireann.net
unisg.ch
vam.ac.uk
visitsnowdonia.info
westminstercathedral.org.uk
wordpress.com
www.gov.uk
zur-engelsburg.de
